pseudo,band,eig_eV_rel_vbm,maxP_s,maxP_p,maxP_d
jth_lib,0,-12.3974,3.500448,0.594587,0.000000
jth_lib,1,-8.0565,3.500448,0.664959,0.000000
jth_lib,2,-4.1587,1.028788,0.743462,0.000000
jth_lib,3,-4.1587,0.000000,0.774580,0.000000
jth_lib,4,0.0516,2.771089,0.725119,0.000000
jth_lib,5,0.0516,2.009322,0.725119,0.000000
jth_lib,6,2.3284,1.844950,0.669988,0.000000
jth_lib,7,3.9792,4.060746,0.669988,0.000000
jth_lib,8,6.1932,1.922274,0.783095,0.000000
jth_lib,9,6.6551,3.102869,0.783095,0.000000
jth_lib,10,7.5589,2.366952,0.584376,0.000000
jth_lib,11,10.5975,1.796980,0.568985,0.000000
jth_lib,12,10.5975,2.858112,1.229751,0.000000
jth_lib,13,10.5975,2.858112,1.229751,0.000000
jth_lib,14,14.8605,2.041227,0.450033,0.000000
jth_lib,15,17.2473,1.869756,0.723701,0.000000
jth_lib,16,17.4392,1.800079,0.422550,0.000000
jth_lib,17,19.2606,1.800077,0.422550,0.000000
jth_lib,18,19.5139,1.806451,0.648399,0.000000
jth_lib,19,19.5139,1.596328,0.520252,0.000000
jth_lib,20,21.2496,3.039908,0.653189,0.000000
jth_lib,21,21.2496,3.039908,0.579922,0.000000
jth_lib,22,25.1921,1.483345,0.619318,0.000000
jth_lib,23,25.1921,1.437475,0.447426,0.000000
jth_lib,24,27.1649,2.149169,0.616457,0.000000
jth_lib,25,27.1649,0.619874,0.616457,0.000000
jth_lib,26,29.1278,3.477532,0.460994,0.000000
jth_lib,27,29.1278,3.477532,0.289984,0.000000
jth_lib,28,31.9206,1.604136,0.336648,0.000000
jth_lib,29,32.6463,2.686287,0.336648,0.000000
jth_lib,30,32.6463,1.685891,0.310994,0.000000
jth_lib,31,34.2076,2.839739,0.252808,0.000000
jth_lib,32,35.4290,3.368654,0.333827,0.000000
jth_lib,33,36.2761,3.368654,0.333827,0.000000
jth_lib,34,37.7537,1.841171,0.327129,0.000000
jth_lib,35,38.2628,0.927752,0.270934,0.000000
jth_lib,36,38.4216,1.411623,0.412744,0.000000
jth_lib,37,40.7109,2.196947,0.375894,0.000000
jth_lib,38,41.5059,1.296435,0.378581,0.000000
jth_lib,39,41.5059,2.199401,0.302198,0.000000
jth_lib,40,43.5682,2.432718,0.312682,0.000000
jth_lib,41,43.8795,2.091244,0.312682,0.000000
jth_lib,42,43.8795,2.666168,0.258649,0.000000
jth_lib,43,43.8795,1.351334,0.355169,0.000000
jth_lib,44,44.7831,1.675419,0.355169,0.000000
jth_lib,45,44.7831,0.000000,0.353029,0.000000
jth_lib,46,44.7831,1.637536,0.302765,0.000000
jth_lib,47,45.4088,1.565804,0.251098,0.000000
jth_lib,48,45.4088,1.415818,0.389486,0.000000
jth_lib,49,45.4088,1.474423,0.389486,0.000000
jth_lib,50,49.7515,1.793375,0.222319,0.000000
jth_lib,51,51.3028,2.796715,0.234777,0.000000
jth_lib,52,51.3028,1.271146,0.154317,0.000000
jth_lib,53,51.3028,0.912532,0.185790,0.000000
jth_lib,54,51.6121,0.954287,0.178281,0.000000
jth_lib,55,51.6121,1.478444,0.190702,0.000000
jth_lib,56,51.6121,1.637020,0.179400,0.000000
jth_lib,57,57.5996,2.922442,0.121540,0.000000
jth_lib,58,58.5172,2.940033,0.136062,0.000000
jth_lib,59,60.3850,1.348975,0.142870,0.000000
jth_lib,60,61.5835,1.166988,0.167089,0.000000
jth_lib,61,61.5835,0.607497,0.167089,0.000000
jth_lib,62,62.4893,1.873398,0.129003,0.000000
jth_lib,63,63.7530,1.873398,0.116490,0.000000
jth_lib,64,65.8319,3.190192,0.145446,0.000000
jth_lib,65,65.8319,0.446734,0.145446,0.000000
jth_lib,66,66.8317,0.572340,0.117121,0.000000
jth_lib,67,67.1205,0.572340,0.061887,0.000000
jth_lib,68,67.9509,0.530042,0.061408,0.000000
jth_lib,69,68.5016,4.228226,0.072519,0.000000
jth_lib,70,70.3736,27.124860,0.050970,0.000000
jth_lib,71,70.9933,27.059181,0.038935,0.000000
jth_lib,72,71.3147,30.575898,0.038054,0.000000
jth_lib,73,71.6368,30.575897,0.051287,0.000000
jth_lib,74,71.6368,38.194566,0.047472,0.000000
jth_lib,75,72.0751,38.194565,0.040822,0.000000
jth_lib,76,73.7761,27.028899,0.042108,0.000000
jth_lib,77,73.8859,26.740897,0.065395,0.000000
jth_lib,78,74.3090,8.621828,0.077616,0.000000
jth_lib,79,74.3090,8.925759,0.077616,0.000000
jth_lib,80,75.6986,2.282985,0.067658,0.000000
jth_lib,81,75.6986,4.365210,0.073798,0.000000
jth_lib,82,77.5459,1.237117,0.078317,0.000000
jth_lib,83,77.5459,2.341628,0.075456,0.000000
jth_lib,84,78.3176,3.294915,0.091349,0.000000
jth_lib,85,78.3176,3.294915,0.075294,0.000000
jth_lib,86,79.6670,2.952964,0.093591,0.000000
jth_lib,87,79.6670,2.760433,0.093591,0.000000
jth_lib,88,80.8723,1.320631,0.065416,0.000000
jth_lib,89,80.8723,1.320628,0.131831,0.000000
jth_lib,90,81.4013,3.707546,0.130461,0.000000
jth_lib,91,81.4013,2.596594,0.142511,0.000000
jth_lib,92,82.6728,4.830648,0.094350,0.000000
jth_lib,93,82.6728,4.830648,0.125061,0.000000
jth_lib,94,85.9705,2.103989,0.077492,0.000000
jth_lib,95,85.9705,0.000004,0.080851,0.000000
jth_lib,96,87.6946,1.064088,0.067319,0.000000
jth_lib,97,87.6946,2.932917,0.070450,0.000000
jth_lib,98,88.4696,3.458616,0.165237,0.000000
jth_lib,99,88.4696,2.393440,0.165237,0.000000
