pseudo,band,eig_eV_rel_vbm,maxP_s,maxP_p,maxP_d
paw,0,-12.0661,0.821972,0.496464,0.636483
paw,1,-7.7776,0.821972,0.732513,0.853909
paw,2,-4.0355,0.266854,0.796294,0.891727
paw,3,-4.0355,0.000000,0.814772,0.912420
paw,4,0.4005,0.673992,0.780065,1.035140
paw,5,0.4005,0.436004,0.780065,1.035140
paw,6,2.4429,0.502579,0.710010,0.843613
paw,7,4.5102,0.952689,0.710010,0.843613
paw,8,6.4119,0.446264,0.699226,1.142743
paw,9,6.9200,0.690941,0.699226,1.142744
paw,10,8.0747,0.528976,0.629197,1.600532
paw,11,10.8973,0.390166,0.629197,1.600532
paw,12,10.8973,0.511766,1.137981,1.887827
paw,13,10.8973,0.511766,1.137981,1.929789
paw,14,15.3510,0.392040,0.574880,3.504781
paw,15,17.3602,0.273389,0.754312,5.683255
paw,16,17.5268,0.230069,0.717021,5.683251
paw,17,19.2318,0.318549,0.717021,5.683501
paw,18,19.3408,0.410432,0.670277,6.828133
paw,19,19.3408,0.410432,0.409401,6.828133
paw,20,21.7351,0.555499,0.953007,5.602242
paw,21,21.7351,0.555499,0.952919,7.137863
paw,22,24.5285,0.262870,0.953333,9.656628
paw,23,24.5285,0.176029,0.555563,9.656628
paw,24,27.4839,0.379273,0.617187,6.073907
paw,25,27.4839,0.156989,0.569153,5.066857
paw,26,29.7514,0.585592,0.490837,11.522123
paw,27,29.7660,0.585592,0.396234,11.522118
paw,28,31.7499,0.098406,0.448832,11.522540
paw,29,31.9033,0.120425,0.448832,13.304171
paw,30,32.7132,0.257021,0.376378,13.304171
paw,31,33.9959,0.426371,0.336659,11.071128
paw,32,36.0215,0.446911,0.377885,9.528690
paw,33,36.9773,0.446911,0.377885,9.528690
paw,34,38.0136,0.118188,0.525658,10.353793
paw,35,38.6726,0.102572,0.525640,10.353793
paw,36,38.8590,0.253519,0.526132,10.880096
paw,37,40.2503,0.320755,0.376709,10.880096
paw,38,41.7352,0.188954,0.434787,11.805988
paw,39,41.7352,0.318667,0.361873,11.805989
paw,40,43.8913,0.070230,0.362045,13.693432
paw,41,44.2367,0.264047,0.362045,13.693432
paw,42,44.6467,0.385948,0.260887,13.167473
paw,43,45.0650,0.332983,0.446579,13.167474
paw,44,45.3297,0.269260,0.447815,11.916361
paw,45,45.3297,0.150276,0.453277,10.373137
paw,46,45.3297,0.275265,0.466513,13.266143
paw,47,46.0137,0.275265,0.274664,13.266146
paw,48,46.0137,0.146459,0.287565,14.275007
paw,49,46.0137,0.202810,0.287565,14.275005
paw,50,50.4751,0.253316,0.516163,11.972715
paw,51,51.5865,0.376108,0.516163,9.125938
paw,52,51.5865,0.222460,0.343311,10.815172
paw,53,51.5865,0.125047,0.343338,13.225429
paw,54,51.9337,0.072181,0.352000,13.225429
paw,55,51.9337,0.219087,0.352000,12.145353
paw,56,51.9337,0.224433,0.318777,14.627475
paw,57,58.1664,0.388386,0.170675,15.914690
paw,58,59.3046,0.398909,0.265274,15.914690
paw,59,60.9080,0.242871,0.234101,20.330668
paw,60,61.8068,0.165443,0.324152,20.330668
paw,61,62.0920,0.112028,0.324152,20.658174
paw,62,62.8215,0.341917,0.262945,23.331588
paw,63,63.9648,0.341917,0.224088,23.331588
paw,64,65.4749,0.000001,0.351274,30.719256
paw,65,65.4749,0.119739,0.351274,30.719256
paw,66,66.7079,0.211717,0.370858,33.752321
paw,67,67.4034,0.200363,0.202605,33.752269
paw,68,67.7867,0.164560,0.205694,33.757542
paw,69,68.5353,0.150770,0.212694,24.588094
paw,70,69.8902,0.142183,0.184214,19.144229
paw,71,71.0079,0.061247,0.184312,19.324299
paw,72,71.0819,0.156508,0.169350,15.703733
paw,73,71.3231,0.213490,0.147098,10.900925
paw,74,71.8074,0.128428,0.149783,13.326995
paw,75,71.8074,0.182445,0.225841,13.326995
paw,76,73.7341,0.119633,0.227170,17.858152
paw,77,73.7341,0.248212,0.227170,17.858152
paw,78,76.0871,0.058601,0.137919,21.435035
paw,79,76.0871,0.154997,0.158576,22.781684
paw,80,77.6985,0.072293,0.220736,17.267837
paw,81,77.7456,0.156354,0.220736,16.688534
paw,82,79.0530,0.135582,0.322784,16.688536
paw,83,79.0530,0.135583,0.300936,22.443824
paw,84,80.0553,0.150368,0.295522,13.216146
paw,85,80.0553,0.150368,0.295522,19.243932
paw,86,81.5350,0.088625,0.332890,19.243935
paw,87,81.5350,0.149486,0.285342,13.673574
paw,88,81.9413,0.277643,0.271912,21.753666
paw,89,81.9413,0.319945,0.230075,21.753664
paw,90,82.5580,0.172773,0.280026,13.471344
paw,91,82.5580,0.146479,0.280026,13.064112
paw,92,86.1452,0.367710,0.197814,24.117946
paw,93,86.1452,0.367710,0.260655,24.117952
paw,94,88.0609,0.131421,0.260655,27.337175
paw,95,88.0609,0.232375,0.238127,27.337173
paw,96,89.2102,0.324278,0.247332,13.559048
paw,97,89.2102,0.227922,0.247332,13.559052
paw,98,90.7193,0.173686,0.217341,11.268185
paw,99,90.7193,0.184988,0.217341,21.466359
