pseudo,thresh,N_smooth,e_hartree,e_exchange,e_rpa
paw_fv,3e-2,749,67.67255984462764,-19.167584565823,-1.3519698205125592
paw_fv,1e-2,830,67.7178267732382,-19.17850043954385,-1.3534316921348177
paw_fv,3e-3,919,67.7034503562156,-19.18242742521824,-1.3537531524819408
paw_fv,1e-3,1004,67.71655607168717,-19.18480294241515,-1.3537970058618158
paw_fv,3e-4,1116,67.71956864046658,-19.18525766526911,-1.3538504021741826
paw_fv,1e-4,1223,67.71710746458015,-19.185274378849456,-1.3538372194247088
paw_fv,3e-5,1363,67.71712517708278,-19.185161277201217,-1.353738526106386
paw_fv,1e-5,1519,67.71742825238377,-19.185410918479548,-1.353744388942499
paw_fv,3e-6,1719,67.71790485227795,-19.185473510169693,-1.3537318451066567
paw_fv,1e-6,2007,67.71812213687761,-19.185534537341642,-1.3537292515614001
uspp_fv,3e-2,760,68.84932093378816,-19.185823536025843,-1.681703160243568
uspp_fv,1e-2,846,68.82994471217577,-19.193261318999323,-1.6819539553286051
uspp_fv,3e-3,938,68.8380967459495,-19.197801338815964,-1.6829546672458224
uspp_fv,1e-3,1024,68.84959757589694,-19.200512639915214,-1.6829768290741645
uspp_fv,3e-4,1132,68.84743479174693,-19.199331607742636,-1.6829586422344684
uspp_fv,1e-4,1248,68.84879513895439,-19.199276716148674,-1.682846458369509
uspp_fv,3e-5,1399,68.84809943338404,-19.199176846748717,-1.6828229287735454
uspp_fv,1e-5,1567,68.84824428487691,-19.19913511489064,-1.6827974415911322
uspp_fv,3e-6,1829,68.84839738718941,-19.199103611776195,-1.6828011860650507
uspp_fv,1e-6,2280,68.84836063235461,-19.199153164758208,-1.6827965767003747
