vol_name,a_bohr,vol_bohr3,pp,qe_total_ry,qe_1e_ry,qe_hartree_ry,qe_xc_ry,qe_ewald_ry,qe_onecpaw_ry,cq_e1e_ha,cq_ehf_ha,cq_erpa_ha,cq_e1e_fulldeeq_ha,qe_exx_total_ry,qe_scf_hf_total_ry
a10p04,10.04,253.01201599999993,oncv,-15.71077055,5.26542467,1.1053137,-4.91243149,-17.16907743,,2.6327129420339963,-1.6412162049925247,-0.43583306542748906,2.632712942034009,,-15.21946362
a10p04,10.04,253.01201599999993,uspp,-22.78542664,5.70200962,1.1032127,-12.42157152,-17.16907743,,2.5371245694366746,-1.6243847937698672,-0.4210434799069,2.9004370418381833,,-14.77033641
a10p04,10.04,253.01201599999993,paw,-22.28766894,6.26065186,0.97782374,-12.35272641,-17.16907743,-0.00434069,2.9377761748291373,-1.685200355981734,-0.43142512332241406,3.1239451223383483,,-14.32516506
a10p15,10.15,261.41959375000005,oncv,-15.71648241,5.01088274,1.13270641,-4.87706295,-16.98300861,,2.505440280170405,-1.6098236153711234,-0.43453758958987615,2.5054402801703977,,-15.22461975
a10p15,10.15,261.41959375000005,uspp,-22.79097447,5.44054847,1.13117015,-12.37968448,-16.98300861,,2.400256315295495,-1.5932903277762447,-0.41992157025347593,2.7689410689019396,,-14.78391976
a10p15,10.15,261.41959375000005,paw,-22.2991086,5.99290153,1.00397949,-12.30912982,-16.98300861,-0.00385119,2.798390874966536,-1.654670857621783,-0.4292326712200457,2.990897989172136,,-14.34602815
a10p26,10.26,270.011394,oncv,-15.72005987,4.76339259,1.16015466,-4.84267755,-16.80092957,,2.381696068609848,-1.5787131394786815,-0.4334136979877068,2.3816960686098545,,-15.22739914
a10p26,10.26,270.011394,uspp,-22.79437717,5.18661086,1.15913757,-12.33919603,-16.80092957,,2.2670490597969617,-1.5624633517130244,-0.4189517904048291,2.6412367441203672,,-14.79463568
a10p26,10.26,270.011394,paw,-22.30796747,5.73322068,1.03007067,-12.26692813,-16.80092957,-0.00340111,2.6630405831270365,-1.6244501755303935,-0.42725273628067945,2.8618440748134613,,-14.36358024
a10p37,10.37,278.78941324999994,oncv,-15.72170149,4.5225958,1.18766887,-4.80925282,-16.62271335,,2.261296016672231,-1.5478851343649336,-0.43245625052602543,2.261296016672228,,-15.22800235
a10p37,10.37,278.78941324999994,uspp,-22.79583671,4.93979292,1.18716644,-12.30008272,-16.62271335,,2.1373034852630144,-1.5318861189259672,-0.4181380472657648,2.517126071196099,,-14.8027089
a10p37,10.37,278.78941324999994,paw,-22.31446699,5.48119819,1.05610758,-12.22607313,-16.62271335,-0.00298629,2.5314961301541614,-1.594520940977447,-0.4255030319645546,2.7365701916192404,,-14.37806773
a10p48,10.48,287.755648,oncv,-15.72159184,4.28813793,1.2152867,-4.77677816,-16.4482383,,2.1440690018254522,-1.5173383552450552,-0.4316740748119822,2.144069001825434,,-15.22661721
a10p48,10.48,287.755648,uspp,-22.79554126,4.69974018,1.21525318,-12.26229632,-16.4482383,,2.0108257134011844,-1.5015538135950826,-0.417475199796835,2.3964164278024445,,-14.80835079
a10p48,10.48,287.755648,paw,-22.31881678,5.2364405,1.08211738,-12.18653226,-16.4482383,-0.00260409,2.4035490331099556,-1.5649180861073617,-0.4239493988008484,2.61487172356115,,-14.38972208
a10p55,10.55,293.5603437500001,oncv,-15.72068948,4.1420916,1.23291911,-4.75659711,-16.33910307,,2.0710466081158705,-1.4980081647531067,-0.4312514041718017,2.0710466081158705,,
a10p55,10.55,293.5603437500001,uspp,-22.79452029,4.55033985,1.23316988,-12.23892695,-16.33910307,,1.9319590524916044,-1.482396654353882,-0.41712648723878665,1.9319590524916044,,
a10p65,10.65,301.98740625000005,oncv,-15.71837396,3.93752556,1.2581952,-4.72841046,-16.18568426,,1.9687630979696886,-1.470602721697871,-0.4307690810556695,1.9687630979696886,,
a10p65,10.65,301.98740625000005,uspp,-22.792036,4.34124452,1.25884413,-12.20644038,-16.18568426,,1.8213768765491138,-1.4551204513900484,-0.4167306037452318,1.8213768765491138,,
