vol_name,a_bohr,vol_bohr3,pp,qe_total_ry,qe_1e_ry,qe_hartree_ry,qe_xc_ry,qe_ewald_ry,qe_onecpaw_ry,cq_e1e_ha,cq_ehf_ha,cq_erpa_ha,cq_e1e_fulldeeq_ha,qe_exx_total_ry,qe_scf_hf_total_ry
a10p04,10.04,253.01201599999993,oncv,-15.71077064,5.26542467,1.10531363,-4.91243151,-17.16907743,,2.6327129399739113,-1.641227731904844,-0.43583348473582134,2.6327129399739113,,
a10p04,10.04,253.01201599999993,uspp,-22.78542664,5.70200962,1.1032127,-12.42157152,-17.16907743,,2.537124569437911,-1.624383776679032,-0.42104542168359815,2.537124569437911,,
a10p04,10.04,253.01201599999993,paw,-93.3988396,6.28914066,1.10276303,-12.42108834,-17.16907743,-71.20057752,2.831422426279908,-1.6158870155673686,-0.4245748908194181,2.831422426279908,,
a10p15,10.15,261.41959375000005,oncv,-15.7164825,5.01088274,1.13270634,-4.87706297,-16.98300861,,2.5054402803532136,-1.6098341684344322,-0.43453893359600476,2.5054402803532136,,
a10p15,10.15,261.41959375000005,uspp,-22.79097447,5.44054847,1.13117015,-12.37968448,-16.98300861,,2.4002563154930825,-1.5932867893104623,-0.4199210333090551,2.4002563154930825,,
a10p15,10.15,261.41959375000005,paw,-93.40439132,6.02123081,1.1308612,-12.37928611,-16.98300861,-71.19418861,2.691146837715956,-1.5848719686836965,-0.4234204810377753,2.691146837715956,,
a10p26,10.26,270.011394,oncv,-15.72005996,4.76339259,1.16015459,-4.84267757,-16.80092957,,2.381696070980491,-1.5787070449674994,-0.4334080035910361,2.381696070980491,,
a10p26,10.26,270.011394,uspp,-22.79437717,5.18661086,1.15913757,-12.33919603,-16.80092957,,2.267049059797539,-1.5624405005546298,-0.4189539514179139,2.267049059797539,,
a10p26,10.26,270.011394,paw,-93.40779303,5.76133029,1.15897333,-12.33888566,-16.80092957,-71.18828142,2.554791433424064,-1.5541453848414502,-0.42242820581617063,2.554791433424064,,
a10p37,10.37,278.78941324999994,oncv,-15.72170158,4.52259581,1.1876688,-4.80925284,-16.62271335,,2.2612960212112303,-1.5478903728025748,-0.4324606276155386,2.2612960212112303,,
a10p37,10.37,278.78941324999994,uspp,-22.79583671,4.93979276,1.18716677,-12.3000829,-16.62271335,,2.137303526475146,-1.5318678822700302,-0.41813846624938517,2.137303526475146,,
a10p37,10.37,278.78941324999994,paw,-93.40924777,5.509029,1.18711485,-12.29984462,-16.62271335,-71.18283366,2.4221404231436536,-1.5236688060439376,-0.42159060952126887,2.4221404231436536,,
a10p48,10.48,287.755648,oncv,-15.72159192,4.28813795,1.21528662,-4.77677818,-16.4482383,,2.1440690084706824,-1.517332715196358,-0.4316727809173789,2.1440690084706824,,
a10p48,10.48,287.755648,uspp,-22.79554126,4.69974018,1.21525318,-12.26229632,-16.4482383,,2.010825713403867,-1.501569268981575,-0.4174765112529235,2.010825713403867,,
a10p48,10.48,287.755648,paw,-93.40894462,5.2639283,1.21532912,-12.26213863,-16.4482383,-71.17782511,2.2929923386348277,-1.4934049659471245,-0.4209035524832743,2.2929923386348277,,
