route,thresh,nmu,gap,d_gap_meV,rel_dSigma
direct,0.1,602,1.9851395559931932,58.75780175987777,
direct,0.03,713,1.9510517526672084,24.66999843389295,
direct,0.01,793,1.9296187272933445,3.2369730600290136,
direct,0.003,862,1.9269371013570948,0.5553471237793595,
direct,0.001,922,1.9262490158904124,-0.1327383429030604,
direct,0.0003,995,1.9261555930097756,-0.2261612235399113,
direct,0.0001,1061,1.92622955279028,-0.15220144303551564,
direct,3e-05,1144,1.9264943807060835,0.11262647276799598,
direct,1e-05,1223,1.9266022062808172,0.2204520475017624,
direct,1e-06,1428,1.9263817542333155,0.0,
isdf,0.1,602,2.041005141073386,114.62338684007057,
isdf,0.03,713,1.973105391427294,46.72363719397854,
isdf,0.01,793,1.9307501821810424,4.3684279477269605,
isdf,0.003,862,1.9292830536930579,2.901299459742379,
isdf,0.001,922,1.9248933460891866,-1.4884081441288721,
isdf,0.0003,995,1.9266520318171543,0.2702775838387961,
isdf,0.0001,1061,1.926817987184284,0.436232950968618,
isdf,3e-05,1144,1.9268621035445832,0.48034931126772484,
isdf,1e-05,1223,1.9265963673507764,0.21461311746096,
isdf,1e-06,1428,1.9264498750837775,0.06812085046203897,
