pp,vol,qe68_1e_ry,qe68_total_ry,qe68_ewald_ry
uspp,a10p04,5.70200962,-22.78542664,-17.16907743
uspp,a10p15,5.44054847,-22.79097447,-16.98300861
uspp,a10p26,5.18661086,-22.79437717,-16.80092957
uspp,a10p37,4.93979291,-22.79583671,-16.62271335
uspp,a10p48,4.69974018,-22.79554126,-16.44823830
uspp,a10p55,4.55033985,-22.79452029,-16.33910307
uspp,a10p65,4.34124452,-22.79203600,-16.18568426
oncv,a10p04,5.26542467,-15.71077055,-17.16907743
oncv,a10p26,4.76339259,-15.72005987,-16.80092957
oncv,a10p65,3.93752556,-15.71837396,-16.18568426
