pseudo,code,alat,nband,variant,ec
jth_with_d,abinit,10.05,100,base,-0.40337904
jth_with_d,abinit,10.05,250,base,-0.42509477
jth_with_d,abinit,10.05,500,base,-0.43111722
jth_with_d,coqui,10.05,500,base,-0.5963025830952292
nc,coqui,10.05,500,base,-0.44687063548937755
jth_with_d,coqui,10.05,100,base,-0.41621341250484944
jth_with_d,coqui,10.05,250,base,-0.44284489171651575
jth_with_d,abinit,10.15,100,base,-0.40224361
jth_with_d,abinit,10.15,250,base,-0.42405061
jth_with_d,abinit,10.15,500,base,-0.43012125
jth_with_d,coqui,10.15,500,base,-0.5834880616661611
nc,coqui,10.15,500,base,-0.44575928593346753
jth_with_d,coqui,10.15,100,base,-0.4149411671328286
jth_with_d,coqui,10.15,250,base,-0.4412457744219051
jth_with_d,abinit,10.25,100,base,-0.4012414
jth_with_d,abinit,10.25,250,base,-0.42313829
jth_with_d,abinit,10.25,500,base,-0.42925874
jth_with_d,coqui,10.25,500,base,-0.5529355562158084
nc,coqui,10.25,500,base,-0.44479105233967925
jth_with_d,coqui,10.25,100,base,-0.413770334778536
jth_with_d,coqui,10.25,250,base,-0.43982669751116865
jth_with_d,abinit,10.35,100,base,-0.40037308
jth_with_d,abinit,10.35,250,base,-0.42236022
jth_with_d,abinit,10.35,500,base,-0.4285532
jth_with_d,coqui,10.35,500,base,-0.5279607209996089
nc,coqui,10.35,500,base,-0.44396186130935933
jth_with_d,coqui,10.35,100,base,-0.41280458738337633
jth_with_d,coqui,10.35,250,base,-0.43859616254823197
jth_with_d,abinit,10.45,100,base,-0.39962733
jth_with_d,abinit,10.45,250,base,-0.42169957
jth_with_d,abinit,10.45,500,base,-0.42794234
jth_with_d,coqui,10.45,500,base,-0.5053405813451936
nc,coqui,10.45,500,base,-0.44327648660463503
jth_with_d,coqui,10.45,100,base,-0.4118885361768382
jth_with_d,coqui,10.45,250,base,-0.4375213486220232
jth_with_d,abinit,10.55,100,base,-0.39902029
jth_with_d,abinit,10.55,250,base,-0.42118832
jth_with_d,abinit,10.55,500,base,-0.42755287
jth_with_d,coqui,10.55,500,base,-0.4891408398354475
nc,coqui,10.55,500,base,-0.44271786695984694
jth_with_d,coqui,10.55,100,base,-0.4111869936175321
jth_with_d,coqui,10.55,250,base,-0.4366177825763523
jth_with_d,abinit,10.05,500,probe_ecuteps18,-0.4316894
jth_with_d,abinit,10.05,500,probe_ecuteps6,-0.41918067
jth_with_d,abinit,10.05,100,probe_pawcross,
jth_with_d,abinit,10.05,250,probe_pawcross,
jth_with_d,abinit,10.05,500,probe_pawcross,
jth_with_d,abinit,10.55,100,probe_pawcross,
jth_with_d,abinit,10.55,250,probe_pawcross,
jth_with_d,abinit,10.55,500,probe_pawcross,
jth_with_d,abinit,?,100,probe_pawcross_small,
jth_with_d,abinit,?,250,probe_pawcross_small,
jth_with_d,abinit,?,500,probe_pawcross_small,
