tol,nlambda,N_aug,e_hartree,e_exchange,e_hf,e_rpa
1e-12,324,648,0.5122374597429725,-2.137945339166633,-1.6257078794236608,-0.39919183896650984
1e-5,284,568,0.5127553422013503,-2.1380263635360865,-1.6252710213347372,-0.3993355560276547
1.5e-5,228,456,0.5127553418590766,-2.138029905249173,-1.6252745633900971,-0.39933361686583807
2e-5,220,440,0.5127553501775131,-2.1380623514544284,-1.6253070012769169,-0.3999255261609489
3e-5,178,356,0.5127553511574038,-2.152022802676715,-1.6392674515193104,-0.49086975781479214
4e-5,158,316,0.5127553460739681,-2.144264335249401,-1.631508989175433,-0.40833672127733467
5e-5,110,220,0.512544626144001,-2.1449589125743285,-1.6324142864303277,-0.41236814420860324
7e-5,103,206,0.5257893607543639,-2.161909585147146,-1.63612022439278,-0.4186135468265889
1e-4,51,102,0.5259086006721293,-2.199439604849123,-1.6735310041769933,-0.4371873804926032
1.3e-4,27,54,0.5259086047528813,-2.200237892557026,-1.6743292878041436,-0.4282356296574847
1.7e-4,18,36,0.5180834760585837,-2.1914000925643364,-1.6733166165057525,-0.4245279993271375
3e-4,0,0,0.569680167985477,-2.24108748692887,-1.6714073189433933,-0.4418557697943593
