kgrid,pseudo,type,nbnd,rpa
2,oncv,NC,50,-0.36365574986362414
2,oncv,NC,100,-0.3994474118052194
2,oncv,NC,150,-0.4123748967610664
2,oncv,NC,250,-0.4221578087564829
2,ccecp,NC,50,-0.3584836154240886
2,ccecp,NC,100,-0.39505111967864837
2,ccecp,NC,150,-0.40739824263269375
2,ccecp,NC,250,-0.41693860271767874
2,uspp,US,50,-0.34826584361727553
2,uspp,US,100,-0.3843225116380592
2,uspp,US,150,-0.3972546796868775
2,uspp,US,250,-0.4072871015646572
2,paw,PAW,50,-0.349095228763674
2,paw,PAW,100,-0.38698474674593164
2,paw,PAW,150,-0.400198368127499
2,paw,PAW,250,-0.41022391284515175
2,jth_with_d_v2,PAW+d,50,-0.3738146689588654
2,jth_with_d_v2,PAW+d,100,-0.4099352694090566
2,jth_with_d_v2,PAW+d,150,-0.4223341171614695
2,jth_with_d_v2,PAW+d,250,-0.4318551873419415
2,jth_lib,PAW-nod,50,-0.3839604794020839
2,jth_lib,PAW-nod,100,-0.4187134696978895
2,jth_lib,PAW-nod,150,-0.4302188268177839
2,jth_lib,PAW-nod,250,-0.43898914835481784
3,oncv,NC,50,-0.3757544720195878
3,oncv,NC,100,-0.4116397593646993
3,oncv,NC,150,-0.4241302116994382
3,oncv,NC,250,-0.4335619454350716
3,ccecp,NC,50,-0.3712764860013226
3,ccecp,NC,100,-0.4074243972786284
3,ccecp,NC,150,-0.4193419243301589
3,ccecp,NC,250,-0.4284914689809604
3,uspp,US,50,-0.3608610863570177
3,uspp,US,100,-0.39693497847706205
3,uspp,US,150,-0.4093857363417641
3,uspp,US,250,-0.41908122617399307
3,paw,PAW,50,-0.3620070971908383
3,paw,PAW,100,-0.3991918389558972
3,paw,PAW,150,-0.41189827234033605
3,paw,PAW,250,-0.4215202356218665
3,jth_with_d_v2,PAW+d,50,-0.3658874126601732
3,jth_with_d_v2,PAW+d,100,-0.4026673827093286
3,jth_with_d_v2,PAW+d,150,-0.4151625880693323
3,jth_with_d_v2,PAW+d,250,-0.42482835448613365
3,jth_lib,PAW-nod,50,-0.3743989205797474
3,jth_lib,PAW-nod,100,-0.40934930402009734
3,jth_lib,PAW-nod,150,-0.4938489988543643
3,jth_lib,PAW-nod,250,-0.6126243508536364
4,oncv,NC,50,-0.38335954259392235
4,oncv,NC,100,-0.4181367592368129
4,oncv,NC,150,-0.430276430647298
4,oncv,NC,250,-0.43963002464597434
4,ccecp,NC,50,-0.3789090292943775
4,ccecp,NC,100,-0.4140865942454927
4,ccecp,NC,150,-0.42561911715981965
4,ccecp,NC,250,-0.43472026921337203
4,uspp,US,50,-0.3684872607721122
4,uspp,US,100,-0.40358190525803755
4,uspp,US,150,-0.4156475844690315
4,uspp,US,250,-0.42522939549676353
4,paw,PAW,50,-0.3696683444569319
4,paw,PAW,100,-0.4058935429153092
4,paw,PAW,150,-0.4182321074901945
4,paw,PAW,250,-0.4277407702523545
4,jth_with_d_v2,PAW+d,50,-0.37421250445984633
4,jth_with_d_v2,PAW+d,100,-0.4100473726362776
4,jth_with_d_v2,PAW+d,150,-0.42219792658596395
4,jth_with_d_v2,PAW+d,250,-0.431743409556117
4,jth_lib,PAW-nod,50,-0.39019662745455796
4,jth_lib,PAW-nod,100,-2.320316418721839
4,jth_lib,PAW-nod,150,-2.405332565662849
4,jth_lib,PAW-nod,250,-0.9133705516548478
2,oncv,NC,500,-0.429017159757202
2,ccecp,NC,500,-0.4236220013607216
2,uspp,US,500,-0.4143774261442254
2,paw,PAW,500,-0.4171425139415876
2,jth_with_d_v2,PAW+d,500,-0.43873008142769554
2,jth_lib,PAW-nod,500,-0.48311658734369756
3,oncv,NC,500,-0.4400176244920144
3,ccecp,NC,500,-0.43485895522862245
3,uspp,US,500,-0.4258146646032587
3,paw,PAW,500,-0.42805617283701286
3,jth_with_d_v2,PAW+d,500,-0.432792279161758
3,jth_lib,PAW-nod,500,-0.670761021091629
4,oncv,NC,500,-0.4460669818745959
