tol,nlam_zn,nlam_o,N_aug,e_hartree,e_exchange,e_hf,e_rpa
1e-12,324,64,388,102.01098747915147,-22.03256039039574,79.97842708875575,-0.9643544185501106
1e-5,324,64,388,102.01098747915148,-22.032560390395744,79.97842708875577,-0.964354418550161
3e-5,324,64,388,102.01098747915148,-22.032560390395744,79.97842708875577,-0.9643544185501554
5e-5,314,46,360,102.01098748580876,-22.04377088227643,79.96721660353238,-0.9658263006972926
7e-5,314,40,354,102.01098748382033,-22.027138318207054,79.98384916561331,-0.9640558451998156
1e-4,298,40,338,102.01098746514353,-22.02039923015325,79.9905882349903,-0.9571741387981727
1.3e-4,298,34,332,102.0109874682796,-22.008420935954753,80.00256653232485,-1.0024996571232931
1.7e-4,288,34,322,102.0107738279525,-22.00805525729019,80.00271857066231,-1.0024567023598705
2e-4,284,22,306,102.01077382347762,-22.092261438725078,79.91851238475257,-1.221140386952553
2.5e-4,260,22,282,102.01067661262785,-22.088463318323694,79.92221329430416,-1.2201504831792107
3e-4,240,16,256,102.01051664433842,-21.96070921174597,80.04980743259247,-0.9842947837921253
4e-4,232,16,248,102.0105166471588,-21.94385971626932,80.06665693088947,-1.040464426248987
5e-4,154,13,167,101.66647618613673,-21.6395560271733,80.02692015896342,-3.3473855831875707
6e-4,124,13,137,101.66647618568477,-20.772131918566178,80.8943442671186,-3.5595163363608266
7e-4,124,7,131,103.96612297805956,-21.63390237706776,82.33222060099187,-10.096177049745952
8e-4,72,6,78,103.99209671016305,-21.070241155008087,82.92185555515499,-10.419701154773632
1e-3,54,1,55,101.12429704296052,-19.06308185696748,82.0612151859931,-2.0801977895627988
1.5e-3,28,0,28,112.95153046816658,-18.121037067469356,94.83049340069716,-3.4190796868911955
2e-3,5,0,5,78.02218720011246,-15.518736017398972,62.50345118271348,-21.613259993801595
