kgrid,pseudo,nbnd,N_aug,e_hartree,e_exchange,e_rpa
2,oncv,50,0,76.26352835936163,-20.612659344735476,-0.4617691067922656
2,oncv,100,0,76.26317588093119,-20.612799468821,-0.6781500380039736
2,oncv,150,0,76.26329512341852,-20.612719533200078,-0.8043375562091883
2,oncv,250,0,76.26315663803186,-20.612770820241703,-0.959928148222406
2,oncv,500,0,76.26324412517623,-20.612730875887518,-1.1802194453780066
2,uspp,50,388,102.86031038762692,-22.139385879780207,-0.5666782525080163
2,uspp,100,388,102.86037676664138,-22.13928870125897,-0.816180964717436
2,uspp,150,388,102.86012112484019,-22.13944595939302,-0.9404659546629872
2,uspp,250,388,102.86163078355762,-22.139479445224467,-1.0715587213386948
2,uspp,500,388,102.8605085260291,-22.13939306853674,-1.2027175502590526
2,paw,50,388,101.79819046449194,-22.034020641677067,-0.7058542591355644
2,paw,100,388,101.79939481892329,-22.034102498578964,-0.9560802274244
2,paw,150,388,101.79912826280523,-22.034078163820034,-1.0715497042604127
2,paw,250,388,101.79914335536999,-22.034130870050678,-1.1838320317262774
2,paw,500,388,101.79947325679376,-22.03411226888052,-1.2958923848045916
3,oncv,50,0,76.19867175078811,-20.55183409548551,-0.47993182931765754
3,oncv,100,0,76.19874064163689,-20.55184335821278,-0.6917179701486957
3,oncv,150,0,76.19815346285644,-20.55192198928736,-0.8170817794877036
3,oncv,250,0,76.1983432501939,-20.551759371458854,-0.9793003175578705
3,oncv,500,0,76.19752049647289,-20.55154852009131,-1.1893154462285074
3,uspp,50,388,102.7944366124172,-22.0802391460077,-0.5832362979241249
3,uspp,100,388,102.7939674863939,-22.080170985278887,-0.8372753649785052
3,uspp,150,388,102.79477419695279,-22.08045997876895,-0.9681076385015701
3,uspp,250,388,102.79500266229734,-22.080262163477954,-1.1177279615441125
3,paw,50,388,102.01860611783796,-22.056173517037344,-0.7011437739850523
3,paw,100,388,102.01877321608193,-22.056099382061944,-0.9654581906412185
3,paw,150,388,102.01932725695994,-22.05620453762492,-1.0899629428445063
3,paw,250,388,102.0190580915349,-22.05622322594834,-1.225241078010156
3,paw,500,388,102.01917297245922,-22.056174074446634,-1.3416996619004875
4,oncv,50,0,76.17147006011534,-20.53464990816681,-0.4834223386076308
4,oncv,100,0,76.17131925934243,-20.53491723402751,-0.6974486022016657
4,oncv,150,0,76.17128694052512,-20.534965525038686,-0.8214516258537079
4,oncv,250,0,76.17093290945206,-20.534823168172984,-0.9827810919767184
4,oncv,500,0,76.17129667326431,-20.534759651655214,-1.1957170896574492
4,uspp,50,388,102.76527048739628,-22.063236406310946,-0.5906160136029779
4,uspp,100,388,102.76489501368299,-22.063149442226457,-0.848295094451682
4,uspp,150,388,102.76512246867864,-22.063239995489095,-0.9849713849951006
4,uspp,250,388,102.76564163492247,-22.063344046686133,-1.1437928936244153
4,uspp,500,388,102.76475022144612,-22.06316850063917,-1.2893330971037475
4,paw,50,388,102.05108711030698,-22.055876754510532,-0.7070779251406489
4,paw,100,388,102.05072866676767,-22.055798978700103,-0.9805058769829798
4,paw,150,388,102.0511534934437,-22.05590487467356,-1.1180364069578173
4,paw,250,388,102.05168886493395,-22.05608016692059,-1.2756904051605145
4,paw,500,388,102.05096463995582,-22.05587799257772,-1.4017513676451026
5,oncv,50,0,76.1637767381415,-20.52928609320155,-0.4851190415474193
5,oncv,100,0,76.16349077079066,-20.529313559511507,-0.6990785402618321
5,oncv,150,0,76.1636666440212,-20.529357184775577,-0.8235533848258019
5,oncv,250,0,76.16339518856516,-20.529172951140062,-0.9838455018414609
5,oncv,500,0,76.16360850709181,-20.52915543193183,-1.196013119635976
5,uspp,50,388,102.75688749104559,-22.058010385424417,-0.5928903376449897
5,uspp,100,388,102.75631208717121,-22.057920944198308,-0.8533235206015376
5,uspp,150,388,102.75689285108889,-22.058024735026027,-0.9932159753442267
5,uspp,250,388,102.75694561443508,-22.058041837641447,-1.1619888053236564
5,paw,50,388,102.05911260138575,-22.055056607304532,-0.7139767620625194
5,paw,100,388,102.0591155362906,-22.05510772846365,-0.9954228968595562
5,paw,150,388,102.05899462018917,-22.055033894121475,-1.1393094349148358
5,paw,250,388,102.05905216579792,-22.05513690164783,-1.3074319331280608
6,oncv,50,0,76.16093677996808,-20.5268895467394,-0.486635104230195
6,oncv,100,0,76.16147247308665,-20.527131380191157,-0.6992263119675416
6,oncv,150,0,76.1606981966649,-20.527090134383577,-0.8243039779630961
6,oncv,250,0,76.16047106871115,-20.526925958630493,-0.9848445835102988
6,oncv,500,0,76.1602641636815,-20.52675377323664,-1.1975689184904728
6,uspp,50,388,102.75349873044284,-22.055510027011266,-0.5957033009008049
6,uspp,100,388,102.75316757859477,-22.055388245005336,-0.8561583399157252
6,uspp,150,388,102.75382990406695,-22.05555184366556,-1.0003554663438134
6,uspp,250,388,102.7539275276856,-22.05555028178894,-1.1801638237583
6,paw,50,388,102.06118955965466,-22.05381889090662,-0.7193592272905128
6,paw,100,388,102.06128868279954,-22.053928274071243,-1.0031207639437691
6,paw,150,388,102.06155829789023,-22.05393454419459,-1.1426999254173305
6,paw,250,388,102.06159395659444,-22.053983924176507,-1.2959599811652691
