thresh,N_smooth,N_aug,N_total,e_hartree,e_exchange,e_hf,e_rpa
3e-2,694,388,1082,101.98809510831443,-22.025812469488084,79.96228263882632,-0.9638964066104161
1e-2,760,388,1148,101.99104080761374,-22.027286722059287,79.96375408555446,-0.9641687456372371
3e-3,829,388,1217,101.99614327257083,-22.029522986166047,79.96662028640482,-0.9641805397585954
1e-3,893,388,1281,101.99926594966249,-22.03075679345421,79.96850915620828,-0.964303477511868
3e-4,973,388,1361,102.00642184172533,-22.03181680253361,79.97460503919176,-0.9643495327211893
1e-4,1061,388,1449,102.00892840149068,-22.03245270588315,79.97647569560752,-0.9643753777929495
3e-5,1169,388,1557,102.009786238989,-22.032649976744615,79.97713626224439,-0.9643811436872354
1e-5,1314,388,1702,102.01098747915148,-22.032560390395748,79.97842708875578,-0.9643544185501604
3e-6,1595,388,1983,102.01051416038113,-22.032532160282543,79.97798200009862,-0.9643544267289225
1e-6,2145,388,2533,102.01051492484015,-22.032547646929352,79.97796727791084,-0.9643576885998643
