fixture,config,obs,cmu_star,target
ncpp,baseline,de_x,,0.0001
ncpp,baseline,de_hartree,,0.0001
ncpp,baseline,de_rpa,,0.0001
ncpp,f050,de_x,,0.0001
ncpp,f050,de_hartree,,0.0001
ncpp,f050,de_rpa,9.53,0.0001
ncpp,f050_mbare,de_x,,0.0001
ncpp,f050_mbare,de_hartree,11.61,0.0001
ncpp,f050_mbare,de_rpa,10.85,0.0001
ncpp,f100,de_x,,0.0001
ncpp,f100,de_hartree,,0.0001
ncpp,f100,de_rpa,10.7,0.0001
ncpp,matten,de_x,10.36,0.0001
ncpp,matten,de_hartree,,0.0001
ncpp,matten,de_rpa,11.14,0.0001
ncpp,mbare,de_x,,0.0001
ncpp,mbare,de_hartree,,0.0001
ncpp,mbare,de_rpa,9.97,0.0001
ncpp,mbare_s3,de_x,,0.0001
ncpp,mbare_s3,de_hartree,,0.0001
ncpp,mbare_s3,de_rpa,9.29,0.0001
ncpp,wgap,de_x,,0.0001
ncpp,wgap,de_hartree,,0.0001
ncpp,wgap,de_rpa,9.83,0.0001
